period,available_date,hs_code,series,export_value,export_weight,export_unit_price_weight
2021-06,2021-07-01,8542311000,Logic comparator,1974516391.0,566586.0,3484.9367810005897
2021-06,2021-07-01,8542323000,MCP / HBM proxy,3209439778.0,93726.0,34242.79045302264
2021-06,2021-07-01,8542321030,NAND Flash,595764768.0,53106.0,11218.407863518247
2021-07,2021-08-01,8542321010,DRAM,2281692195.0,125481.0,18183.567193439645
2021-07,2021-08-01,8542311000,Logic comparator,2059531905.0,573980.0,3588.159700686435
2021-07,2021-08-01,8542323000,MCP / HBM proxy,2710736092.0,82514.0,32851.83231936399
2021-07,2021-08-01,8542321030,NAND Flash,494346575.0,46748.0,10574.71068280996
2021-08,2021-09-01,8542321010,DRAM,2571096763.0,143500.0,17917.05061324042
2021-08,2021-09-01,8542311000,Logic comparator,2214306222.0,568396.0,3895.710423718675
2021-08,2021-09-01,8542323000,MCP / HBM proxy,2822617027.0,86430.0,32657.839025801226
2021-08,2021-09-01,8542321030,NAND Flash,566156787.0,52626.0,10758.119313647247
2021-09,2021-10-01,8542321010,DRAM,2568940514.0,133506.0,19242.13528979971
2021-09,2021-10-01,8542311000,Logic comparator,2315511939.0,558841.0,4143.4181439801305
2021-09,2021-10-01,8542323000,MCP / HBM proxy,3032476456.0,86636.0,35002.49845329886
2021-09,2021-10-01,8542321030,NAND Flash,657444772.0,58595.0,11220.151412236539
2021-10,2021-11-01,8542321010,DRAM,2466591328.0,143209.0,17223.717280338526
2021-10,2021-11-01,8542311000,Logic comparator,2358816816.0,553494.0,4261.684527745559
2021-10,2021-11-01,8542323000,MCP / HBM proxy,2351212002.0,79219.0,29679.900049230615
2021-10,2021-11-01,8542321030,NAND Flash,634112959.0,48435.0,13092.040033033963
2021-11,2021-12-01,8542321010,DRAM,2453171225.0,126253.0,19430.597490752694
2021-11,2021-12-01,8542311000,Logic comparator,2290471249.0,568056.0,4032.1222713957777
2021-11,2021-12-01,8542323000,MCP / HBM proxy,3023534268.0,98702.0,30632.958481084475
2021-11,2021-12-01,8542321030,NAND Flash,621119589.0,51376.0,12089.6836849891
2021-12,2022-01-01,8542321010,DRAM,2556653940.0,146062.0,17503.895195191082
2021-12,2022-01-01,8542311000,Logic comparator,2358258752.0,578194.0,4078.6634797317165
2021-12,2022-01-01,8542323000,MCP / HBM proxy,3134560295.0,108051.0,29010.00726508778
2021-12,2022-01-01,8542321030,NAND Flash,639834302.0,57715.0,11086.100701723988
2022-01,2022-02-01,8542321010,DRAM,2258480961.0,147241.0,15338.66899165314
2022-01,2022-02-01,8542311000,Logic comparator,2406079934.0,547576.0,4394.056594883633
2022-01,2022-02-01,8542323000,MCP / HBM proxy,2412848672.0,76729.0,31446.37193238541
2022-01,2022-02-01,8542321030,NAND Flash,522251145.0,47860.0,10912.059026326786
2022-02,2022-03-01,8542321010,DRAM,2164415779.0,136233.0,15887.602702722541
2022-02,2022-03-01,8542311000,Logic comparator,2269345524.0,527816.0,4299.501197386968
2022-02,2022-03-01,8542323000,MCP / HBM proxy,2110498381.0,74175.0,28452.960984159083
2022-02,2022-03-01,8542321030,NAND Flash,629182451.0,45646.0,13783.955899750252
2022-03,2022-04-01,8542321010,DRAM,2462223601.0,162127.0,15187.00525513949
2022-03,2022-04-01,8542311000,Logic comparator,2946140043.0,616352.0,4779.963467304397
2022-03,2022-04-01,8542323000,MCP / HBM proxy,3048511405.0,106096.0,28733.518747172373
2022-03,2022-04-01,8542321030,NAND Flash,746116388.0,53004.0,14076.605312806581
2022-04,2022-05-01,8542321010,DRAM,2183887307.0,135204.0,16152.534740096447
2022-04,2022-05-01,8542311000,Logic comparator,2460736461.0,579085.0,4249.3527910410385
2022-04,2022-05-01,8542323000,MCP / HBM proxy,1978311024.0,70420.0,28093.027889804034
2022-04,2022-05-01,8542321030,NAND Flash,742018227.0,53441.0,13884.811792444003
2022-05,2022-06-01,8542321010,DRAM,2469963975.0,115449.0,21394.416365667956
2022-05,2022-06-01,8542311000,Logic comparator,2456349068.0,593859.0,4136.249628278766
2022-05,2022-06-01,8542323000,MCP / HBM proxy,2405599871.0,87417.0,27518.673381607696
2022-05,2022-06-01,8542321030,NAND Flash,803340002.0,59046.0,13605.324695999729
2022-06,2022-07-01,8542321010,DRAM,2489672563.0,146849.0,16953.96334329822
2022-06,2022-07-01,8542311000,Logic comparator,2849117732.0,555234.0,5131.381961479305
2022-06,2022-07-01,8542323000,MCP / HBM proxy,2505011542.0,109485.0,22879.951975156415
2022-06,2022-07-01,8542321030,NAND Flash,786481424.0,47408.0,16589.635167060413
2022-07,2022-08-01,8542321010,DRAM,2368371059.0,189105.0,12524.105967584146
2022-07,2022-08-01,8542311000,Logic comparator,3011881260.0,499646.0,6028.030365498773
2022-07,2022-08-01,8542323000,MCP / HBM proxy,1825832115.0,76025.0,24016.20670831963
2022-07,2022-08-01,8542321030,NAND Flash,738164966.0,40258.0,18335.8578667594
2022-08,2022-09-01,8542321010,DRAM,2003245387.0,132187.0,15154.632354164933
2022-08,2022-09-01,8542311000,Logic comparator,2918672378.0,523649.0,5573.718994975642
2022-08,2022-09-01,8542323000,MCP / HBM proxy,2075749720.0,79368.0,26153.484023787925
2022-08,2022-09-01,8542321030,NAND Flash,618529649.0,39222.0,15769.967084799348
2022-09,2022-10-01,8542321010,DRAM,1823274576.0,131688.0,13845.411700382723
2022-09,2022-10-01,8542311000,Logic comparator,2603079215.0,526419.0,4944.880817371713
2022-09,2022-10-01,8542323000,MCP / HBM proxy,2465716831.0,110728.0,22268.232344122534
2022-09,2022-10-01,8542321030,NAND Flash,673134026.0,59330.0,11345.592887240857
2022-10,2022-11-01,8542321010,DRAM,1565413680.0,175212.0,8934.397643996987
2022-10,2022-11-01,8542311000,Logic comparator,2544471129.0,489926.0,5193.582559406931
2022-10,2022-11-01,8542323000,MCP / HBM proxy,1645405495.0,70879.0,23214.287659250273
2022-10,2022-11-01,8542321030,NAND Flash,566863763.0,70273.0,8066.594040385355
2022-11,2022-12-01,8542321010,DRAM,1402702132.0,163198.0,8595.093885954484
2022-11,2022-12-01,8542311000,Logic comparator,2513869234.0,479281.0,5245.084269979407
2022-11,2022-12-01,8542323000,MCP / HBM proxy,1347003024.0,71101.0,18944.923756346605
2022-11,2022-12-01,8542321030,NAND Flash,516919802.0,47846.0,10803.82481294152
2022-12,2023-01-01,8542321010,DRAM,1419716100.0,192471.0,7376.259800177689
2022-12,2023-01-01,8542311000,Logic comparator,2289067818.0,481062.0,4758.363408458785
2022-12,2023-01-01,8542323000,MCP / HBM proxy,1485547274.0,83749.0,17738.089696593393
2022-12,2023-01-01,8542321030,NAND Flash,346621582.0,40150.0,8633.165180572852
2023-01,2023-02-01,8542321010,DRAM,889144043.0,117589.0,7561.4559440083685
2023-01,2023-02-01,8542311000,Logic comparator,1702526648.0,410226.0,4150.216339286149
2023-01,2023-02-01,8542323000,MCP / HBM proxy,1111406272.0,58141.0,19115.706162604703
2023-01,2023-02-01,8542321030,NAND Flash,364211620.0,27269.0,13356.25142102754
2023-02,2023-03-01,8542321010,DRAM,947429033.0,113507.0,8346.877575832328
2023-02,2023-03-01,8542311000,Logic comparator,1549226559.0,413476.0,3746.8355091952135
2023-02,2023-03-01,8542323000,MCP / HBM proxy,1063450871.0,70070.0,15176.978321678322
2023-02,2023-03-01,8542321030,NAND Flash,492061495.0,48478.0,10150.20205041462
2023-03,2023-04-01,8542321010,DRAM,1134771349.0,132726.0,8549.729133704022
2023-03,2023-04-01,8542311000,Logic comparator,2148075509.0,476164.0,4511.209392142203
2023-03,2023-04-01,8542323000,MCP / HBM proxy,1615478463.0,111874.0,14440.160028246062
2023-03,2023-04-01,8542321030,NAND Flash,637444105.0,91230.0,6987.220267455881
2023-04,2023-05-01,8542321010,DRAM,1163518682.0,146179.0,7959.547417891763
2023-04,2023-05-01,8542311000,Logic comparator,1852846751.0,430601.0,4302.9318348076295
2023-04,2023-05-01,8542323000,MCP / HBM proxy,982903236.0,76644.0,12824.268514169407
2023-04,2023-05-01,8542321030,NAND Flash,352486276.0,36787.0,9581.81629379944
2023-05,2023-06-01,8542321010,DRAM,1193004804.0,157646.0,7567.618613856362
2023-05,2023-06-01,8542311000,Logic comparator,2365724549.0,482741.0,4900.608295131344
2023-05,2023-06-01,8542323000,MCP / HBM proxy,1272453143.0,87520.0,14538.99843464351
2023-05,2023-06-01,8542321030,NAND Flash,370462980.0,38686.0,9576.151062399835
2023-06,2023-07-01,8542321010,DRAM,1164243281.0,151030.0,7708.688876382175
2023-06,2023-07-01,8542311000,Logic comparator,2097829783.0,470831.0,4455.589761506782
2023-06,2023-07-01,8542323000,MCP / HBM proxy,2142641175.0,142956.0,14988.116448417695
2023-06,2023-07-01,8542321030,NAND Flash,469237419.0,73154.0,6414.378147469722
2023-07,2023-08-01,8542321010,DRAM,1142171397.0,105137.0,10863.648354052331
